DATE;INF2;INF2;INF
01,01,2014;0,59;0,59;100,59
01,02,2014;0,7;0,70;101,29413
01,03,2014;01,02,2017;1,02;102,3273301
01,04,2014;0,9;0,90;103,2482761
01,05,2014;0,9;0,90;104,1775106
01,06,2014;0,62;0,62;104,8234111
01,07,2014;0,49;0,49;105,3370459
01,08,2014;0,24;0,24;105,5898548
01,09,2014;0,65;0,65;106,2761888
01,10,2014;0,82;0,82;107,1476536
01,11,2014;01,01,2028;1,28;108,5191435
01,12,2014;01,02,1962;2,62;111,3623451
01,01,2015;01,03,1985;3,85;115,6497954
01,02,2015;01,02,2022;2,22;118,2172208
01,03,2015;01,01,2021;1,21;119,6476492
01,04,2015;0,46;0,46;120,1980284
01,05,2015;0,35;0,35;120,6187215
01,06,2015;0,19;0,19;120,8478971
01,07,2015;0,8;0,80;121,8146803
01,08,2015;0,35;0,35;122,2410316
01,09,2015;0,57;0,57;122,9378055
01,10,2015;0,74;0,74;123,8475453
01,11,2015;0,75;0,75;124,7764019
01,12,2015;0,77;0,77;125,7371802
01,01,2016;0,96;0,96;126,9442571
01,02,2016;0,63;0,63;127,7440059
01,03,2016;0,46;0,46;128,3316283
01,04,2016;0,44;0,44;128,8962875
01,05,2016;0,41;0,41;129,4247623
01,06,2016;0,36;0,36;129,8906914
01,07,2016;0,54;0,54;130,5921012
01,08,2016;0,01;0,01;130,6051604
01,09,2016;0,17;0,17;130,8271891
01,10,2016;0,43;0,43;131,3897461
01,11,2016;0,44;0,44;131,9678609
01,12,2016;0,4;0,40;132,4957324
01,01,2017;0,62;0,62;133,3172059
01,02,2017;0,22;0,22;133,6105038
01,03,2017;0,13;0,13;133,7841974
01,04,2017;0,33;0,33;134,2256853
01,05,2017;0,37;0,37;134,7223203
01,06,2017;0,61;0,61;135,5441265
01,07,2017;0,07;0,07;135,6390074
