RAIL;TUBE;SEA;WATER;AUTO;AIR;DATE
99.98;92.37;103.05;100.76;102.13;97.6;2014-01-01
100;100.11;101.45;101.57;100.88;101.92;2014-02-01
100;100.04;104.5;100.78;100.41;99.42;2014-03-01
100;104.83;98.04;100.86;99.67;98.97;2014-04-01
100;100;100.54;102.62;99.94;99.55;2014-05-01
100;100;97.21;99.87;99.79;100.71;2014-06-01
100;109.09;103.48;100.87;100.04;99.41;2014-07-01
102.31;100.06;99.75;101.41;100.28;100.15;2014-08-01
100;100.26;104.5;101.93;100.24;101.28;2014-09-01
100;89.88;100.88;102.38;100.17;101.7;2014-10-01
100;100.32;109.3;104.37;101.12;100.26;2014-11-01
100;100.79;115.7;117.88;102.31;104.83;2014-12-01
108.83;100.45;105.93;103.39;103.38;101.68;2015-01-01
103.29;99.83;98.6;97.27;101.42;98.56;2015-02-01
100;99.87;101.89;98.81;98.94;99.91;2015-03-01
100;107.24;95.59;95.99;98.25;94.52;2015-04-01
100;99.73;97.28;98.21;99.6;96.77;2015-05-01
100;100.26;102.57;104.78;100.59;102.96;2015-06-01
100;114.22;103.77;103.95;100.16;101.01;2015-07-01
100;100.71;109.41;107.96;101.84;105.25;2015-08-01
100.45;99.88;96.87;100.14;100.46;101.44;2015-09-01
100;89.59;97.27;97.55;99.58;99.92;2015-10-01
100;100.16;101.73;100.98;100.24;102.39;2015-11-01
100;100.45;103.57;104.45;101.87;103.47;2015-12-01
108.59;93.7;111.35;106.95;102.21;100.58;2016-01-01
100;99.83;93;98.83;100.13;99.66;2016-02-01
100;99.58;93.86;95.49;99.04;99.36;2016-03-01
100;119.15;96.93;95.37;99.64;115.78;2016-04-01
100;100.06;102.43;102.81;99.9;100.09;2016-05-01
100;99.99;96.32;100.71;100.16;99.76;2016-06-01
100;104.69;100.29;98.5;99.77;99.98;2016-07-01
100;100.01;101.84;100.96;100.35;100.01;2016-08-01
100;100.02;98.5;100.62;99.96;100.26;2016-09-01
99.97;89.19;98.94;99.14;99.72;99.91;2016-10-01
100.14;100.09;100.6;100.88;100.11;104.78;2016-11-01
100;99.85;96.84;98.01;99.62;99.88;2016-12-01
103.68;97.17;106.44;101.8;102.18;97.43;2017-01-01
100.31;99.86;95.32;98.32;99.97;101.3;2017-02-01
100;99.95;99.97;99.59;100.07;99.64;2017-03-01
100;114.34;99.85;103.81;100.15;105.21;2017-04-01
100;100.06;97.1;98.51;100.12;99.67;2017-05-01
100;100.19;110.36;101.65;100.01;99.73;2017-06-01
100;114;90.45;99.77;100.09;99.95;2017-07-01
