RAIL;VALUE;DATE
99.98;99.98;01.01.2014
100;99.98;01.02.2014
100;99.98;01.03.2014
100;99.98;01.04.2014
100;99.98;01.05.2014
100;99.98;01.06.2014
100;99.98;01.07.2014
102.31;102.289538;01.08.2014
100;102.289538;01.09.2014
100;102.289538;01.10.2014
100;102.289538;01.11.2014
100;102.289538;01.12.2014
108.83;111.3217042;01.01.2015
103.29;114.9841883;01.02.2015
100;114.9841883;01.03.2015
100;114.9841883;01.04.2015
100;114.9841883;01.05.2015
100;114.9841883;01.06.2015
100;114.9841883;01.07.2015
100;114.9841883;01.08.2015
100.45;115.5016171;01.09.2015
100;115.5016171;01.10.2015
100;115.5016171;01.11.2015
100;115.5016171;01.12.2015
108.59;125.423206;01.01.2016
100;125.423206;01.02.2016
100;125.423206;01.03.2016
100;125.423206;01.04.2016
100;125.423206;01.05.2016
100;125.423206;01.06.2016
100;125.423206;01.07.2016
100;125.423206;01.08.2016
100;125.423206;01.09.2016
99.97;125.3855791;01.10.2016
100.14;125.5611189;01.11.2016
100;125.5611189;01.12.2016
103.68;130.1817681;01.01.2017
100.31;130.5853315;01.02.2017
100;130.5853315;01.03.2017
100;130.5853315;01.04.2017
100;130.5853315;01.05.2017
100;130.5853315;01.06.2017
100;130.5853315;01.07.2017
